map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
random-64-64-20.map,4096,826,150,DCMAPF,True,7624,96,9.0
random-64-64-20.map,4096,826,150,DCMAPF,True,7546,101,9.0
random-64-64-20.map,4096,826,150,DCMAPF,True,7747,96,9.2
random-64-64-20.map,4096,826,150,DCMAPF,True,7531,102,9.3
random-64-64-20.map,4096,826,150,DCMAPF,True,7707,108,9.4
random-64-64-20.map,4096,826,150,DCMAPF,True,7344,117,9.5
random-64-64-20.map,4096,826,150,DCMAPF,True,7722,116,9.6
random-64-64-20.map,4096,826,150,DCMAPF,True,7760,107,9.6
random-64-64-20.map,4096,826,150,DCMAPF,True,7387,121,9.6
random-64-64-20.map,4096,826,150,DCMAPF,True,6977,115,9.7
random-64-64-20.map,4096,826,150,DCMAPF,True,8245,105,9.7
random-64-64-20.map,4096,826,150,DCMAPF,True,7676,121,9.7
random-64-64-20.map,4096,826,150,DCMAPF,True,7782,107,9.7
random-64-64-20.map,4096,826,150,DCMAPF,True,7848,107,9.8
random-64-64-20.map,4096,826,150,DCMAPF,True,8075,107,10.0
random-64-64-20.map,4096,826,150,DCMAPF,True,7862,113,10.0
random-64-64-20.map,4096,826,150,DCMAPF,True,7766,113,10.0
random-64-64-20.map,4096,826,150,DCMAPF,True,7559,123,10.2
random-64-64-20.map,4096,826,150,DCMAPF,True,8013,123,10.6
random-64-64-20.map,4096,826,150,DCMAPF,True,8029,104,10.9
random-64-64-20.map,4096,826,200,DCMAPF,True,9817,103,15.9
random-64-64-20.map,4096,826,200,DCMAPF,True,10780,109,16.4
